iter:343/500; best_distance:10127.552143541274;
iter:344/500; best_distance:10127.552143541274;
iter:345/500; best_distance:10127.552143541274;
iter:346/500; best_distance:10127.552143541274;
iter:347/500; best_distance:10127.552143541274;
iter:348/500; best_distance:10127.552143541274;
iter:349/500; best_distance:10127.552143541274;
iter:350/500; best_distance:10127.552143541274;
iter:351/500; best_distance:10127.552143541274;
iter:352/500; best_distance:10127.552143541274;
iter:353/500; best_distance:10127.552143541274;
iter:354/500; best_distance:10127.552143541274;
iter:355/500; best_distance:10127.552143541274;
iter:356/500; best_distance:10127.552143541274;
iter:357/500; best_distance:10127.552143541274;
iter:358/500; best_distance:10127.552143541274;
iter:359/500; best_distance:10127.552143541274;
iter:360/500; best_distance:10127.552143541274;
iter:361/500; best_distance:10127.552143541274;
iter:362/500; best_distance:10127.552143541274;
iter:363/500; best_distance:10127.552143541274;
iter:364/500; best_distance:10127.552143541274;
iter:365/500; best_distance:10127.552143541274;
iter:366/500; best_distance:10127.552143541274;
iter:367/500; best_distance:10127.552143541274;
iter:368/500; best_distance:10127.552143541274;
iter:369/500; best_distance:10127.552143541274;
iter:370/500; best_distance:10127.552143541274;
iter:371/500; best_distance:10127.552143541274;
iter:372/500; best_distance:10127.552143541274;
iter:373/500; best_distance:10127.552143541274;
iter:374/500; best_distance:10127.552143541274;
iter:375/500; best_distance:10127.552143541274;
iter:376/500; best_distance:10127.552143541274;
iter:377/500; best_distance:10127.552143541274;
iter:378/500; best_distance:10127.552143541274;
iter:379/500; best_distance:10127.552143541274;
iter:380/500; best_distance:10127.552143541274;
iter:381/500; best_distance:10127.552143541274;
iter:382/500; best_distance:10127.552143541274;
iter:383/500; best_distance:10127.552143541274;
iter:384/500; best_distance:10127.552143541274;
iter:385/500; best_distance:10127.552143541274;
iter:386/500; best_distance:10127.552143541274;
iter:387/500; best_distance:10127.552143541274;
iter:388/500; best_distance:10127.552143541274;
iter:389/500; best_distance:10127.552143541274;
iter:390/500; best_distance:10127.552143541274;
iter:391/500; best_distance:10127.552143541274;
iter:392/500; best_distance:10127.552143541274;
iter:393/500; best_distance:10127.552143541274;
iter:394/500; best_distance:10127.552143541274;
iter:395/500; best_distance:10127.552143541274;
iter:396/500; best_distance:10127.552143541274;
iter:397/500; best_distance:10127.552143541274;
iter:398/500; best_distance:10127.552143541274;
iter:399/500; best_distance:10127.552143541274;
iter:400/500; best_distance:10127.552143541274;
iter:401/500; best_distance:10127.552143541274;
iter:402/500; best_distance:10127.552143541274;
iter:403/500; best_distance:10127.552143541274;
iter:404/500; best_distance:10127.552143541274;
iter:405/500; best_distance:10127.552143541274;
iter:406/500; best_distance:10127.552143541274;
iter:407/500; best_distance:10127.552143541274;
iter:408/500; best_distance:10127.552143541274;
iter:409/500; best_distance:10127.552143541274;
iter:410/500; best_distance:10127.552143541274;
iter:411/500; best_distance:10127.552143541274;
iter:412/500; best_distance:10127.552143541274;
iter:413/500; best_distance:10127.552143541274;
iter:414/500; best_distance:10127.552143541274;
iter:415/500; best_distance:10127.552143541274;
iter:416/500; best_distance:10127.552143541274;
iter:417/500; best_distance:10127.552143541274;
iter:418/500; best_distance:10127.552143541274;
iter:419/500; best_distance:10127.552143541274;
iter:420/500; best_distance:10127.552143541274;
iter:421/500; best_distance:10127.552143541274;
iter:422/500; best_distance:10127.552143541274;
iter:423/500; best_distance:10127.552143541274;
iter:424/500; best_distance:10127.552143541274;
iter:425/500; best_distance:10127.552143541274;
iter:426/500; best_distance:10127.552143541274;
iter:427/500; best_distance:10127.552143541274;
iter:428/500; best_distance:10127.552143541274;
iter:429/500; best_distance:10127.552143541274;
iter:430/500; best_distance:10127.552143541274;
iter:431/500; best_distance:10127.552143541274;
iter:432/500; best_distance:10127.552143541274;
iter:433/500; best_distance:10127.552143541274;
iter:434/500; best_distance:10127.552143541274;
iter:435/500; best_distance:10127.552143541274;
iter:436/500; best_distance:10127.552143541274;
iter:437/500; best_distance:10127.552143541274;
iter:438/500; best_distance:10127.552143541274;
iter:439/500; best_distance:10127.552143541274;
iter:440/500; best_distance:10127.552143541274;
iter:441/500; best_distance:10127.552143541274;
iter:442/500; best_distance:10127.552143541274;
iter:443/500; best_distance:10127.552143541274;
iter:444/500; best_distance:10127.552143541274;
iter:445/500; best_distance:10127.552143541274;
iter:446/500; best_distance:10127.552143541274;
iter:447/500; best_distance:10127.552143541274;
iter:448/500; best_distance:10127.552143541274;
iter:449/500; best_distance:10127.552143541274;
iter:450/500; best_distance:10127.552143541274;
iter:451/500; best_distance:10127.552143541274;
iter:452/500; best_distance:10127.552143541274;
iter:453/500; best_distance:10127.552143541274;
iter:454/500; best_distance:10127.552143541274;
iter:455/500; best_distance:10127.552143541274;
iter:456/500; best_distance:10127.552143541274;
iter:457/500; best_distance:10127.552143541274;
iter:458/500; best_distance:10127.552143541274;
iter:459/500; best_distance:10127.552143541274;
iter:460/500; best_distance:10127.552143541274;
iter:461/500; best_distance:10127.552143541274;
iter:462/500; best_distance:10127.552143541274;
iter:463/500; best_distance:10127.552143541274;
iter:464/500; best_distance:10127.552143541274;
iter:465/500; best_distance:10127.552143541274;
iter:466/500; best_distance:10127.552143541274;
iter:467/500; best_distance:10127.552143541274;
iter:468/500; best_distance:10127.552143541274;
iter:469/500; best_distance:10127.552143541274;
iter:470/500; best_distance:10127.552143541274;
iter:471/500; best_distance:10127.552143541274;
iter:472/500; best_distance:10127.552143541274;
iter:473/500; best_distance:10127.552143541274;
iter:474/500; best_distance:10127.552143541274;
iter:475/500; best_distance:10127.552143541274;
iter:476/500; best_distance:10127.552143541274;
iter:477/500; best_distance:10127.552143541274;
iter:478/500; best_distance:10127.552143541274;
iter:479/500; best_distance:10127.552143541274;
iter:480/500; best_distance:10127.552143541274;
iter:481/500; best_distance:10127.552143541274;
iter:482/500; best_distance:10127.552143541274;
iter:483/500; best_distance:10127.552143541274;
iter:484/500; best_distance:10127.552143541274;
iter:485/500; best_distance:10127.552143541274;
iter:486/500; best_distance:10127.552143541274;
iter:487/500; best_distance:10127.552143541274;
iter:488/500; best_distance:10127.552143541274;
iter:489/500; best_distance:10127.552143541274;
iter:490/500; best_distance:10127.552143541274;
iter:491/500; best_distance:10127.552143541274;
iter:492/500; best_distance:10127.552143541274;
iter:493/500; best_distance:10127.552143541274;
iter:494/500; best_distance:10127.552143541274;
iter:495/500; best_distance:10127.552143541274;
iter:496/500; best_distance:10127.552143541274;
iter:497/500; best_distance:10127.552143541274;
iter:498/500; best_distance:10127.552143541274;
iter:499/500; best_distance:10127.552143541274;
